time,open,high,low,close
2025-05-20T09:55:00.000000000Z,1.12539,1.12576,1.12526,1.12554
2025-05-20T10:00:00.000000000Z,1.12554,1.12575,1.12546,1.1257
2025-05-20T10:05:00.000000000Z,1.1257,1.12579,1.12524,1.12524
2025-05-20T10:10:00.000000000Z,1.12526,1.12533,1.12472,1.12486
2025-05-20T10:15:00.000000000Z,1.12484,1.12506,1.12466,1.12488
2025-05-20T10:20:00.000000000Z,1.1249,1.1249,1.12432,1.12453
2025-05-20T10:25:00.000000000Z,1.12454,1.12489,1.12448,1.12467
2025-05-20T10:30:00.000000000Z,1.12468,1.12482,1.12453,1.1247
2025-05-20T10:35:00.000000000Z,1.12468,1.12474,1.12432,1.1244
2025-05-20T10:40:00.000000000Z,1.12442,1.12466,1.1244,1.1246
2025-05-20T10:45:00.000000000Z,1.12462,1.12476,1.12448,1.12474
2025-05-20T10:50:00.000000000Z,1.12473,1.12487,1.12435,1.12438
2025-05-20T10:55:00.000000000Z,1.12438,1.12466,1.12436,1.12445
2025-05-20T11:00:00.000000000Z,1.12447,1.12473,1.12442,1.12473
2025-05-20T11:05:00.000000000Z,1.12475,1.12501,1.12468,1.12476
2025-05-20T11:10:00.000000000Z,1.12477,1.12502,1.12477,1.12497
2025-05-20T11:15:00.000000000Z,1.12496,1.12503,1.12478,1.12498
2025-05-20T11:20:00.000000000Z,1.12498,1.12514,1.1248,1.12498
2025-05-20T11:25:00.000000000Z,1.12499,1.12518,1.12472,1.1249
2025-05-20T11:30:00.000000000Z,1.12488,1.12498,1.12454,1.1249
2025-05-20T11:35:00.000000000Z,1.12491,1.12492,1.12454,1.12483
2025-05-20T11:40:00.000000000Z,1.12482,1.12496,1.1247,1.12477
2025-05-20T11:45:00.000000000Z,1.12478,1.12484,1.12457,1.12464
2025-05-20T11:50:00.000000000Z,1.12464,1.12464,1.1244,1.12451
2025-05-20T11:55:00.000000000Z,1.12452,1.12472,1.12436,1.12461
2025-05-20T12:00:00.000000000Z,1.12459,1.12473,1.12442,1.12454
2025-05-20T12:05:00.000000000Z,1.12454,1.12459,1.1241,1.1241
2025-05-20T12:10:00.000000000Z,1.12412,1.12415,1.12356,1.12384
2025-05-20T12:15:00.000000000Z,1.12384,1.12384,1.12294,1.12317
2025-05-20T12:20:00.000000000Z,1.12318,1.12327,1.12236,1.12259
2025-05-20T12:25:00.000000000Z,1.12258,1.1229,1.12252,1.12279
2025-05-20T12:30:00.000000000Z,1.12281,1.12365,1.12277,1.1236
2025-05-20T12:35:00.000000000Z,1.12358,1.1236,1.1232,1.12342
2025-05-20T12:40:00.000000000Z,1.12343,1.12352,1.12302,1.12316
2025-05-20T12:45:00.000000000Z,1.12317,1.12321,1.12266,1.1232
2025-05-20T12:50:00.000000000Z,1.12323,1.12368,1.12319,1.12354
2025-05-20T12:55:00.000000000Z,1.12354,1.1236,1.12336,1.12344
2025-05-20T13:00:00.000000000Z,1.12344,1.12344,1.12272,1.12282
2025-05-20T13:05:00.000000000Z,1.1228,1.12344,1.12276,1.12339
2025-05-20T13:10:00.000000000Z,1.1234,1.1234,1.12266,1.12283
2025-05-20T13:15:00.000000000Z,1.12285,1.12296,1.12251,1.12263
2025-05-20T13:20:00.000000000Z,1.12262,1.12296,1.12246,1.1229
2025-05-20T13:25:00.000000000Z,1.1229,1.1234,1.12288,1.1233
2025-05-20T13:30:00.000000000Z,1.1233,1.1236,1.12308,1.1235
2025-05-20T13:35:00.000000000Z,1.1235,1.12383,1.12306,1.1233
2025-05-20T13:40:00.000000000Z,1.12329,1.1237,1.12329,1.12344
2025-05-20T13:45:00.000000000Z,1.12348,1.12445,1.12345,1.12434
2025-05-20T13:50:00.000000000Z,1.12434,1.12497,1.12434,1.12467
2025-05-20T13:55:00.000000000Z,1.12466,1.12496,1.12438,1.12458
2025-05-20T14:00:00.000000000Z,1.12461,1.12528,1.12457,1.12514
2025-05-20T14:05:00.000000000Z,1.12513,1.12622,1.12494,1.12615
2025-05-20T14:10:00.000000000Z,1.12616,1.1266,1.12567,1.12631
2025-05-20T14:15:00.000000000Z,1.12634,1.12662,1.12559,1.12576
2025-05-20T14:20:00.000000000Z,1.12576,1.12646,1.12571,1.12621
2025-05-20T14:25:00.000000000Z,1.12622,1.12683,1.1262,1.12634
