Symbol,RSI_PERIOD,BUY_THRESH,SELL_THRESH,ATR_MULTIPLIER,MIN_SL,TP_SL_RATIO,TotalTrades,Profit,WinRate
USD_JPY,10,30,80,1.0,0.02,1.5,1002,-608.57,42.22
USD_JPY,10,30,80,1.0,0.02,2.0,1002,-861.39,37.72
USD_JPY,10,30,80,1.0,0.03,1.0,1002,175.47,51.2
USD_JPY,10,30,80,1.0,0.03,1.5,1002,-608.56,42.22
USD_JPY,10,30,80,1.0,0.03,2.0,1002,-861.38,37.72
USD_JPY,10,30,80,1.5,0.02,1.0,1002,-717.81,46.81
USD_JPY,10,30,80,1.5,0.02,1.5,1002,-863.25,41.92
USD_JPY,10,30,80,1.5,0.02,2.0,1002,-879.92,40.52
USD_JPY,10,30,80,1.5,0.03,1.0,1002,-717.81,46.81
USD_JPY,10,30,80,1.5,0.03,1.5,1002,-863.25,41.92
USD_JPY,10,30,80,1.5,0.03,2.0,1002,-879.92,40.52
USD_JPY,10,30,80,2.0,0.02,1.0,1002,-803.31,45.61
USD_JPY,10,30,80,2.0,0.02,1.5,1002,-833.12,43.61
USD_JPY,10,30,80,2.0,0.02,2.0,1002,-860.04,42.91
USD_JPY,10,30,80,2.0,0.03,1.0,1002,-803.31,45.61
USD_JPY,10,30,80,2.0,0.03,1.5,1002,-833.12,43.61
USD_JPY,10,30,80,2.0,0.03,2.0,1002,-860.04,42.91
USD_JPY,14,20,70,1.0,0.02,1.0,577,822.03,54.07
USD_JPY,14,20,70,1.0,0.02,1.5,577,551.26,50.78
USD_JPY,14,20,70,1.0,0.02,2.0,577,444.14,49.57
USD_JPY,14,20,70,1.0,0.03,1.0,577,822.03,54.07
USD_JPY,14,20,70,1.0,0.03,1.5,577,551.26,50.78
USD_JPY,14,20,70,1.0,0.03,2.0,577,444.14,49.57
USD_JPY,14,20,70,1.5,0.02,1.0,577,1091.06,54.94
USD_JPY,14,20,70,1.5,0.02,1.5,577,1188.59,53.55
USD_JPY,14,20,70,1.5,0.02,2.0,577,1542.65,53.21
USD_JPY,14,20,70,1.5,0.03,1.0,577,1091.06,54.94
USD_JPY,14,20,70,1.5,0.03,1.5,577,1188.59,53.55
USD_JPY,14,20,70,1.5,0.03,2.0,577,1542.65,53.21
USD_JPY,14,20,70,2.0,0.02,1.0,577,1025.79,54.77
USD_JPY,14,20,70,2.0,0.02,1.5,577,1242.38,53.9
USD_JPY,14,20,70,2.0,0.02,2.0,577,891.27,53.03
USD_JPY,14,20,70,2.0,0.03,1.0,577,1025.79,54.77
USD_JPY,14,20,70,2.0,0.03,1.5,577,1242.38,53.9
USD_JPY,14,20,70,2.0,0.03,2.0,577,891.27,53.03
USD_JPY,14,20,75,1.0,0.02,1.0,397,616.49,54.41
USD_JPY,14,20,75,1.0,0.02,1.5,397,376.26,49.62
USD_JPY,14,20,75,1.0,0.02,2.0,397,281.22,47.86
USD_JPY,14,20,75,1.0,0.03,1.0,397,616.49,54.41
USD_JPY,14,20,75,1.0,0.03,1.5,397,376.26,49.62
USD_JPY,14,20,75,1.0,0.03,2.0,397,281.22,47.86
USD_JPY,14,20,75,1.5,0.02,1.0,397,455.74,53.4
USD_JPY,14,20,75,1.5,0.02,1.5,397,523.64,51.39
USD_JPY,14,20,75,1.5,0.02,2.0,397,770.13,50.88
USD_JPY,14,20,75,1.5,0.03,1.0,397,455.74,53.4
USD_JPY,14,20,75,1.5,0.03,1.5,397,523.64,51.39
USD_JPY,14,20,75,1.5,0.03,2.0,397,770.13,50.88
USD_JPY,14,20,75,2.0,0.02,1.0,397,408.1,52.9
USD_JPY,14,20,75,2.0,0.02,1.5,397,558.64,51.64
USD_JPY,14,20,75,2.0,0.02,2.0,397,314.59,50.38
USD_JPY,14,20,75,2.0,0.03,1.0,397,408.1,52.9
USD_JPY,14,20,75,2.0,0.03,1.5,397,558.64,51.64
USD_JPY,14,20,75,2.0,0.03,2.0,397,314.59,50.38
USD_JPY,14,20,80,1.0,0.02,1.0,281,311.09,53.74
