time,open,high,low,close,volume
2025-03-28T10:00:00.000000000Z,1.29515,1.29528,1.29417,1.29448,1213
2025-03-28T10:15:00.000000000Z,1.29448,1.29466,1.29404,1.29447,1416
2025-03-28T10:30:00.000000000Z,1.2945,1.29454,1.29404,1.29445,1548
2025-03-28T10:45:00.000000000Z,1.29444,1.29454,1.29362,1.29362,1351
2025-03-28T11:00:00.000000000Z,1.2936,1.29383,1.29291,1.29313,1730
2025-03-28T11:15:00.000000000Z,1.29314,1.29334,1.2927,1.29278,1678
2025-03-28T11:30:00.000000000Z,1.29278,1.2929,1.29224,1.29258,1605
2025-03-28T11:45:00.000000000Z,1.2926,1.29332,1.29249,1.29295,1869
2025-03-28T12:00:00.000000000Z,1.29294,1.29314,1.29242,1.29297,2214
2025-03-28T12:15:00.000000000Z,1.29296,1.29325,1.29268,1.29312,1961
2025-03-28T12:30:00.000000000Z,1.2931,1.29417,1.29232,1.29402,3890
2025-03-28T12:45:00.000000000Z,1.29402,1.29524,1.29392,1.2944,3139
2025-03-28T13:00:00.000000000Z,1.29438,1.29572,1.29393,1.29527,4576
2025-03-28T13:15:00.000000000Z,1.29526,1.29644,1.29502,1.29602,3725
2025-03-28T13:30:00.000000000Z,1.296,1.29634,1.29542,1.2956,3649
2025-03-28T13:45:00.000000000Z,1.2956,1.29638,1.29538,1.29552,2802
2025-03-28T14:00:00.000000000Z,1.29554,1.29644,1.2952,1.29532,4293
2025-03-28T14:15:00.000000000Z,1.2953,1.29682,1.29524,1.29624,4062
2025-03-28T14:30:00.000000000Z,1.29623,1.29652,1.29515,1.29522,4013
2025-03-28T14:45:00.000000000Z,1.29523,1.29553,1.29461,1.29484,2973
2025-03-28T15:00:00.000000000Z,1.29482,1.29564,1.29474,1.29528,4682
2025-03-28T15:15:00.000000000Z,1.29528,1.29623,1.29498,1.29596,3433
2025-03-28T15:30:00.000000000Z,1.29594,1.29642,1.2949,1.29492,2687
2025-03-28T15:45:00.000000000Z,1.2949,1.29492,1.29341,1.29416,2909
2025-03-28T16:00:00.000000000Z,1.29415,1.29498,1.29408,1.29413,2407
2025-03-28T16:15:00.000000000Z,1.29414,1.29478,1.29413,1.29457,1581
2025-03-28T16:30:00.000000000Z,1.29458,1.29478,1.29424,1.29444,1624
2025-03-28T16:45:00.000000000Z,1.29444,1.29456,1.29402,1.29438,1721
2025-03-28T17:00:00.000000000Z,1.29438,1.2944,1.29371,1.29375,1618
2025-03-28T17:15:00.000000000Z,1.29374,1.29382,1.29294,1.29337,1950
2025-03-28T17:30:00.000000000Z,1.29336,1.29456,1.29322,1.2945,2036
2025-03-28T17:45:00.000000000Z,1.29449,1.29451,1.29377,1.29406,1327
2025-03-28T18:00:00.000000000Z,1.29405,1.29436,1.29355,1.29375,1285
2025-03-28T18:15:00.000000000Z,1.29378,1.29394,1.29344,1.2936,1389
2025-03-28T18:30:00.000000000Z,1.29362,1.29418,1.29342,1.29358,1483
2025-03-28T18:45:00.000000000Z,1.29358,1.29408,1.29357,1.29397,1555
2025-03-28T19:00:00.000000000Z,1.29398,1.29458,1.29388,1.29418,1240
2025-03-28T19:15:00.000000000Z,1.2942,1.29464,1.2941,1.29454,921
2025-03-28T19:30:00.000000000Z,1.29452,1.29467,1.29436,1.29446,735
2025-03-28T19:45:00.000000000Z,1.29446,1.2947,1.29427,1.2945,762
2025-03-28T20:00:00.000000000Z,1.29447,1.29455,1.29426,1.2943,338
2025-03-28T20:15:00.000000000Z,1.29429,1.29469,1.29422,1.29466,392
2025-03-28T20:30:00.000000000Z,1.29463,1.2948,1.2944,1.29453,622
2025-03-28T20:45:00.000000000Z,1.29453,1.29476,1.29379,1.29407,802
2025-03-30T21:00:00.000000000Z,1.29366,1.29428,1.29333,1.29418,71
2025-03-30T21:15:00.000000000Z,1.2942,1.2942,1.29386,1.29408,37
2025-03-30T21:30:00.000000000Z,1.29408,1.29419,1.29297,1.29316,59
2025-03-30T21:45:00.000000000Z,1.29311,1.2933,1.29298,1.29309,50
2025-03-30T22:00:00.000000000Z,1.29306,1.29325,1.29226,1.29248,1089
2025-03-30T22:15:00.000000000Z,1.29248,1.29309,1.29222,1.29297,1099
2025-03-30T22:30:00.000000000Z,1.29296,1.29344,1.29272,1.29336,886
2025-03-30T22:45:00.000000000Z,1.29337,1.29357,1.29306,1.29319,524
2025-03-30T23:00:00.000000000Z,1.29322,1.29396,1.29316,1.29348,1244
2025-03-30T23:15:00.000000000Z,1.29348,1.29353,1.29284,1.29294,1239
2025-03-30T23:30:00.000000000Z,1.29291,1.29402,1.29285,1.2938,1937
2025-03-30T23:45:00.000000000Z,1.2938,1.29406,1.29366,1.29376,1165
2025-03-31T00:00:00.000000000Z,1.29376,1.29434,1.29371,1.29428,2548
2025-03-31T00:15:00.000000000Z,1.29429,1.29507,1.29422,1.29493,2390
2025-03-31T00:30:00.000000000Z,1.29494,1.29556,1.29488,1.29542,2055
2025-03-31T00:45:00.000000000Z,1.29544,1.29596,1.2953,1.29596,2357
2025-03-31T01:00:00.000000000Z,1.29596,1.2964,1.29594,1.29631,2212
2025-03-31T01:15:00.000000000Z,1.29628,1.2967,1.2961,1.29662,2231
2025-03-31T01:30:00.000000000Z,1.29662,1.2967,1.29634,1.29668,2570
2025-03-31T01:45:00.000000000Z,1.29668,1.29672,1.29589,1.29603,2311
2025-03-31T02:00:00.000000000Z,1.29602,1.29603,1.29552,1.29584,2534
2025-03-31T02:15:00.000000000Z,1.29582,1.29698,1.29572,1.29692,1959
2025-03-31T02:30:00.000000000Z,1.29691,1.29721,1.29666,1.297,1904
2025-03-31T02:45:00.000000000Z,1.29702,1.29708,1.29634,1.29641,1732
2025-03-31T03:00:00.000000000Z,1.2964,1.29644,1.2958,1.29582,1428
2025-03-31T03:15:00.000000000Z,1.29582,1.29602,1.2957,1.29593,1635
2025-03-31T03:30:00.000000000Z,1.29592,1.29608,1.29569,1.2959,1656
2025-03-31T03:45:00.000000000Z,1.29589,1.29595,1.29568,1.29571,1275
2025-03-31T04:00:00.000000000Z,1.29572,1.29606,1.2956,1.29596,1437
2025-03-31T04:15:00.000000000Z,1.29594,1.29614,1.2958,1.29588,1334
2025-03-31T04:30:00.000000000Z,1.29587,1.29595,1.29566,1.29578,1281
2025-03-31T04:45:00.000000000Z,1.2958,1.29587,1.2955,1.29569,945
2025-03-31T05:00:00.000000000Z,1.29568,1.2961,1.29562,1.29576,1726
2025-03-31T05:15:00.000000000Z,1.29576,1.2962,1.29572,1.29603,1248
2025-03-31T05:30:00.000000000Z,1.29602,1.29615,1.29572,1.29605,1551
2025-03-31T05:45:00.000000000Z,1.29604,1.2961,1.29548,1.29563,1336
